178,"鹿"
medium_breasts,"中等胸部(c),中等乳房"
jewelry,"首饰"
sitting,"坐着"
sit,"坐着"
sitting_down,"坐着"
very_long_hair,"很长的头发"
hair_past_waist,"很长的头发"
underwear,"内衣"
undergarments,"内衣"
closed_mouth,"闭嘴,闭口"
nipples,"乳头"
nipple,"乳头"
school_uniform,"校服,学校制服"
school_girl,"校服,学校制服"
school_uniforms,"校服,学校制服"
schoolgirl,"校服,学校制服"
seifuku,"校服,学校制服"
green_eyes,"绿色眼睛,绿眼,绿眼睛"
blue_hair,"蓝发,蓝发/水色发,蓝色的头发"
standing,"站着,站立,站立的"
purple_eyes,"紫色眼睛,紫眼,紫色的眼睛"
collarbone,"锁骨"
clavicle,"锁骨"
collarbones,"锁骨"
panties,"内裤"
pantsu,"内裤"
monochrome,"单色,单色画"
monochromatic,"单色,单色的,单色画"
tail,"尾巴"
animal_tail,"尾巴"
jacket,"夹克衫"
translated,"翻译"
swimsuit,"泳衣,泳装"
bathing_suit,"泳衣,泳装"
mizugi,"泳衣,泳装"
swim_suit,"泳衣,泳装"
swimsuits,"泳衣,泳装"
full_body,"全身"
closed_eyes,"闭上眼睛"
eyes_closed,"闭上眼睛,闭眼"
hair_ribbon,"发带"
hair_ribbons,"发带"
kantai_collection,"康泰系列"
yellow_eyes,"金眼,黄色的眼睛"
amber_eyes,"金眼,琥珀色眼"
weapon,"武器"
weapons,"武器"
ponytail,"马尾辫,马尾"
long_ponytail,"马尾辫,马尾"
pony_tail,"马尾辫,马尾"
upper_body,"上半身"
bust,"上半身"
purple_hair,"紫发,紫色头发"
lavender_hair,"紫发"
white_shirt,"白衬衫"
pink_hair,"粉发,粉红色的头发"
ass,"屁股"
butt,"屁股"
comic,"漫画"
comics,"漫画"
manga,"漫画"
braid,"有辫子的,编织,辫子"
braided_hair,"有辫子的,辫子"
braids,"有辫子的,辫子"
hair_braid,"有辫子的,辫子"
flower,"花"
flowers,"花"
ahoge,"呆毛"
:d,"咧嘴笑"
short_sleeves,"短袖"
hair_bow,"蝴蝶结发饰,发弓"
hair_bows,"蝴蝶结发饰"
greyscale,"灰白图,纯黑白色/黑白照片化/灰度"
black_and_white,"灰白图,黑白片,纯黑白色/黑白照片化/灰度"
grayscale,"灰白图,灰阶,纯黑白色/黑白照片化/灰度"
hetero,"异性"
white_hair,"白发"
male_focus,"男性焦点"
male,"男性焦点,男人"
heart,"心"
pantyhose,"连裤袜"
tights,"连裤袜"
bikini,"比基尼"
sidelocks,"有明显侧发,耳前发,侧锁"
forelocks,"有明显侧发,耳前发"
payot,"有明显侧发,耳前发"
thighs,"大腿"
thigh,"大腿"
nude,"裸体的"
naked,"裸体的"
red_hair,"红发,红头发"
redhead,"红发"
cowboy_shot,"腿部以上,七分身镜头,牛仔射击"
pleated_skirt,"百褶裙"
sweat,"汗水"
hairband,"发箍,头箍,发带"
hair_band,"发箍,头箍"
multicolored_hair,"多种发色,多彩头发,五彩的头发"
multicolor_hair,"多种发色,多彩头发"
translation_request,"翻译请求"
earrings,"耳环"
ear_ring,"耳环"
ear_rings,"耳环"
earring,"耳环"
small_breasts,"小胸部(b),小乳房"
grey_hair,"灰发,白发"
gray_hair,"灰发"
boots,"靴子,长靴"
boot,"靴子,长靴"
naked_boots,"靴子,长靴"
lying,"躺着,说谎"
laying,"躺着"
laying_down,"躺着"
lying_down,"躺着"
censored,"有码,审查"
censor,"有码"
censoring,"有码"
outdoors,"户外"
outdoor,"户外"
outside,"户外"
frills,"皱边"
frill,"皱边"
frilled,"皱边,褶边"
frilly,"皱边"
ruffles,"皱边"
parted_lips,"分开的嘴唇,嘴唇微张"
detached_sleeves,"分离式袖子,袖肩分离装"
armsleeves,"分离式袖子,袖肩分离装"
detached_sleeve,"分离式袖子,袖肩分离装"
naked_sleeves,"分离式袖子,袖肩分离装"
one_eye_closed,"一只眼睛闭上,一只眼睛闭着"
wink,"一只眼睛闭上,一只眼睛闭着"
food,"食品"
japanese_clothes,"和服,日本衣服"
japanese_clothing,"和服"
traditional_japanese_clothes,"和服"
wafuku,"和服"
multiple_boys,"多个男孩"
green_hair,"绿发,绿色的头发"
wings,"翅膀,翅膀/翼"
wing,"翅膀,翅膀/翼"
open_clothes,"敞开衣服,打开衣服"
open_clothing,"敞开衣服"
sky,"天空"
necktie,"领带"
neck_tie,"领带"
tie,"领带"
horns,"兽角,喇叭"
penis,"阳具/屌,阴茎"
cock,"阳具/屌"
cocks,"阳具/屌"
dick,"阳具/屌"
dicks,"阳具/屌"
shoes,"鞋子"
fate_(series),"fate(系列)"
glasses,"眼镜,眼镜/眼镜娘"
megane,"眼镜,眼镜/眼镜娘"
meganekko,"眼镜,眼镜/眼镜娘"
meganeko,"眼镜,眼镜/眼镜娘"
shorts,"短裤"
short_pants,"短裤"
barefoot,"赤脚"
bare_feet,"赤脚"
bare_foot,"赤脚"
barefeet,"赤脚"
serafuku,"水手服,濑福"
pussy,"阴户,阴道"
vagina,"阴户"
vulva,"阴户"
teeth,"牙,牙齿"
bared_teeth,"牙"
solo_focus,"单人焦点,独奏焦点"
sleeveless,"无袖"
day,"白天"
alternate_costume,"替代服装,角色换装"
alternate_outfit,"替代服装,角色换装"
alternative_costume,"替代服装,角色换装"
choker,"颈圈,颈部饰品,项链,项圈"
tongue,"舌头"
tongues,"舌头"
pointy_ears,"尖耳朵,尖耳"
long_ears,"尖耳朵,尖耳"
pointed_ears,"尖耳朵,尖耳"
pointy_ear,"尖耳朵,尖耳"
socks,"袜子,短袜"
naked_socks,"袜子,短袜"
sock,"袜子,短袜"
black_gloves,"黑色手套"
elbow_gloves,"长袖手套,肘部手套"
long_gloves,"长袖手套"
opera_gloves,"长袖手套"
hairclip,"发夹"
barrette,"发夹"
hair_clip,"发夹"
hair_clips,"发夹"
hairclips,"发夹"
fang,"虎牙,方"
midriff,"腹部,中腹部"
striped,"横条花纹,条纹"
stripes,"横条花纹"
puffy_sleeves,"蓬松的袖子"
shiny,"闪亮"
looking_back,"回头看,回眸"
looking_over_shoulder,"回头看,回眸"
turning,"回头看,回眸"
belt,"腰带"
belts,"腰带"
sword,"刀,剑"
swords,"刀"
collared_shirt,"有领衬衫,翻领衬衫"
collared_blouse,"有领衬衫,翻领衬衫"
pants,"裤子"
official_art,"官方图片,官方画作,官方艺术"
artist_name,"艺术家姓名"
cloud,"云"
clouds,"云"
indoors,"室内"
tears,"眼泪"
tear,"眼泪"
cat_ears,"猫耳朵,猫耳"
nekomimi,"猫耳朵,猫耳"
fate/grand_order,"fate/大订单"
white_gloves,"白手套"
virtual_youtuber,"虚拟youtuber"
3girl,"两女"
hair_flower,"花发饰,发花"
flower_hair_ornament,"花发饰,发花"
flower_in_hair,"花发饰,发花"
hair_flowers,"花发饰,发花"
signature,"含签名"
artist_signature,"含签名"
autograph,"含签名"
signed,"含签名"
dark_skin,"肤色较深,深色皮肤"
hand_up,"举手"
spread_legs,"张腿,张开双腿"
open_legs,"张腿"
spread_leg,"张腿"
silver_hair,"银发"
cum,"射精,精液"
cumshot,"射精"
semen,"射精"
sperm,"射精"
2boys,"2个男人"
2boy,"2个男人,两男"
hood,"帽兜,兜帽,引擎盖"
sex,"性爱,色色"
fuck,"性爱"
fucking,"性爱"
idolmaster,"偶像大师"
miniskirt,"迷你裙"
mini_skirt,"迷你裙"
short_skirt,"迷你裙"
tongue_out,"吐舌头"
wide_sleeves,"宽口袖子,宽袖"
on_back,"仰卧,仰躺,背面"
lying_on_back,"仰卧,仰躺"
supine,"仰卧,仰躺"
fingerless_gloves,"露指手套,无指手套"
fingerless_glove,"露指手套"
blunt_bangs,"齐刘海,钝刘海"
bowtie,"领结,蝴蝶领结"
bow_tie,"领结,蝴蝶领结"
neck_bow,"领结,蝴蝶领结"
black_skirt,"黑色裙子"
armpits,"举手露腋,腋窝"
armpit,"举手露腋"
pink_eyes,"粉红色眼睛,粉红色的眼睛"
english_commentary,"英文评论"
sailor_collar,"水手领"
medium_hair,"中等长度头发,中等长发,中等头发"
shoulder-length_hair,"中等长度头发,中等长发"
kimono,"和服"
pokemon,"宠物小精灵"
water,"水"
grey_background,"灰色背景"
necklace,"项链"
black_legwear,"黑色腿装,黑色裤袜"
black_thighhighs,"黑色腿装,黑色过膝袜,黑色长筒袜"
off_shoulder,"衣服从肩膀滑下,露单肩,露肩"
off-shoulder,"衣服从肩膀滑下,露单肩"
off_shoulders,"衣服从肩膀滑下,露单肩"
chibi,"q版,赤壁"
super_deformed,"q版"
bag,"包"
clothes_lift,"掀起衣物,衣服升降机"
cape,"披风,披肩/斗篷/披风"
from_behind,"侧视视角,背影,从后面"
viewed_from_behind,"侧视视角,背影"
star_(symbol),"星(符号)"
stomach,"胃"
scarf,"围巾"
muffler,"围巾"
twitter_username,"推特用户名"
bra,"胸罩,文胸"
nail_polish,"指甲油"
orange_hair,"橘发,橙色头发"
yuri,"百合,尤里"
girl's_love,"百合"
girl_love,"百合"
girls_love,"百合"
lesbian,"百合"
shoujo-ai,"百合"
white_dress,"白色连衣裙"
sweatdrop,"汗珠"
holding_weapon,"手持武器"
black_footwear,"黑色鞋类"
armor,"装甲,盔甲"
rabbit_ears,"兔耳朵,兔子耳朵"
bunny_ears,"兔耳朵,兔子耳朵,兔耳"
white_panties,"白色内裤"
mole,"痣,鼹鼠"
beauty_mark,"痣"
hair_over_one_eye,"头发遮住一只眼睛,头发遮住了一只眼睛,一只眼睛上的头发"
hair_over_eye,"头发遮住一只眼睛,头发遮住了一只眼睛"
grin,"露齿而笑,咧嘴一笑"
uniform,"制服"
uniforms,"制服"
:o,"惊讶"
:0,"惊讶"
huge_breasts,"巨乳(e),巨大的乳房"
huge_boobs,"巨乳(e)"
huge_tits,"巨乳(e)"
blurry,"模糊的"
blurred,"模糊的"
black_eyes,"黑色眼睛,黑眼,黑眼睛"
character_name,"人物名称"
apron,"围裙"
looking_at_another,"看着另一个人,盯着另一人"
vest,"背心"
black_dress,"黑色连衣裙,黑连衣裙"
arm_up,"单抬臂,举起手臂"
arm_raised,"单抬臂"
one_arm_up,"单抬臂"
raised_arm,"单抬臂"
mosaic_censoring,"马赛克审查,马赛克"
mosaic_censor,"马赛克审查,马赛克"
pixel_censor,"马赛克审查,马赛克"
rough_censoring,"马赛克审查,马赛克"
high_heels,"高跟鞋"
heels,"高跟鞋"
vaginal,"阴道"
red_bow,"红色蝴蝶结"
twin_braids,"双辫子"
twin_braid,"双辫子"
twinbraid,"双辫子"
twinbraids,"双辫子"
flat_chest,"贫乳(a),平胸"
flat_chested,"贫乳(a)"
pettanko,"贫乳(a)"
arms_up,"双抬臂,举起手臂"
arms_above,"双抬臂"
arms_above_head,"双抬臂"
arms_raised,"双抬臂"
hands_above_head,"双抬臂"
raised_arms,"双抬臂"
shiny_hair,"有光泽的头发,闪亮的头发"
side_ponytail,"侧马尾辫,侧马尾"
side_tail,"侧马尾辫,侧马尾"
sidetail,"侧马尾辫,侧马尾"
bracelet,"手镯,手链"
bracelets,"手镯"
collar,"项圈,衣领"
covered_nipples,"覆盖的乳头,激凸的乳头/隐约可见的乳头"
erect_nipple,"覆盖的乳头,激凸的乳头/隐约可见的乳头"
erect_nipples,"覆盖的乳头,激凸的乳头/隐约可见的乳头"
erect_nipples_under_clothes,"覆盖的乳头,激凸的乳头/隐约可见的乳头"
perky_nipples,"覆盖的乳头,激凸的乳头/隐约可见的乳头"
feet,"脚"
foot,"脚"
dated,"日期"
from_side,"角色的侧面,从侧面"
side,"角色的侧面"
side_view,"角色的侧面"
viewed_from_side,"角色的侧面"
aqua_eyes,"青色眼睛,吐舌鬼脸,水眼"
sweater,"毛衣"
two-tone_hair,"两种发色,两色头发"
speech_bubble,"讲话泡泡"
leotard,"高叉连体紧身衣,體操服"
red_ribbon,"红丝带"
two_side_up,"披肩双马尾,小型双股辫,两侧向上"
two_sides_up,"披肩双马尾,小型双股辫"
english_text,"英文文本"
dark-skinned_female,"黑皮肤女性"
open_jacket,"开夹克"
tree,"树"
sketch,"草图,素描"
rough,"草图"
rough_sketch,"草图"
cup,"杯子"
blue_sky,"蓝天"
puffy_short_sleeves,"蓬松的短袖,蓬松短袖"
lips,"嘴唇"
zettai_ryouiki,"绝对领域"
absolute_territory,"绝对领域"
zettai_ryouki,"绝对领域"
blue_skirt,"蓝色裙子"
official_alternate_costume,"官方备用服装"
groin,"腹股沟"
mound_of_venus,"腹股沟,腹部三角带"
coat,"外套"
fingernails,"指甲"
wet,"湿的"
genshin_impact,"原神"
cat_tail,"猫尾巴"
v-shaped_eyebrows,"眉毛皱成v形(表高傲或愤怒),v字眉"
bad_twitter_id,"错误的推特id"
streaked_hair,"挑染,条染,条纹头发"
highlights,"挑染,条染"
black_jacket,"黑色夹克"
neckerchief,"水手服的领巾,围巾,领巾"
head_tilt,"歪着头,头部倾斜"
crop_top,"露腹短上衣,裁剪上衣"
white_legwear,"白色腿装,白色裤袜"
white_thighhighs,"白色腿装,白色过膝袜,白色长筒袜"
see-through,"透明装"
seethrough,"透明装"
sheer_clothes,"透明装"
sheer_clothing,"透明装"
transparent_clothing,"透明装"
orange_eyes,"橙色眼睛,橙色的眼镜"
gradient,"渐变色,(身体或肢体)倾斜"
hand_on_hip,"单手叉腰,单手插腰,手放在臀部"
hand_on_waist,"单手叉腰,单手插腰"
azur_lane,"碧蓝航线"
gun,"枪"
firearm,"枪"
guns,"枪"
shiny_skin,"闪亮的皮肤"
animal_ear_fluff,"动物耳朵绒毛"
idolmaster_cinderella_girls,"偶像大师灰姑娘女孩"
wrist_cuffs,"腕饰,手腕袖口"
detached_cuffs,"腕饰"
wrist_cuff,"腕饰"
wristcuff,"腕饰"
wristcuffs,"腕饰"
pillow,"枕头"
book,"书"
sleeves_past_wrists,"萌袖,袖子长过手腕,袖子过手腕"
sleeves_past_wrist,"萌袖,袖子长过手腕"
plaid,"格子"
tartan,"格子,格子花纹"
looking_to_the_side,"看向一边,看向侧面"
looking_aside,"看向一边,看向侧面"
looking_to_side,"看向一边,看向侧面"
torn_clothes,"破烂衣服,撕裂的衣服"
ripped_clothes,"破烂衣服"
ripped_clothing,"破烂衣服"
torn_clothing,"破烂衣服"
artist_request,"艺术家请求"
maid,"女仆装,女佣,女仆"
maid_costume,"女仆装,女仆"
maid_dress,"女仆装,女仆"
maid_outfit,"女仆装,女仆"
maid_uniform,"女仆装,女仆"
maids,"女仆装,女仆"
legs,"腿"
grey_eyes,"灰色眼睛,灰眼,灰色的眼睛"
gray_eyes,"灰色眼睛,灰眼"
silver_eyes,"灰色眼睛,银色眼睛,灰眼"
parted_bangs,"中分,分开的刘海,分刘海"
pokemon_(game),"宠物小精灵(游戏)"
kneehighs,"中筒袜,长袜,膝盖高"
knee_socks,"中筒袜,长袜"
kneehigh_socks,"中筒袜,长袜"
kneesocks,"中筒袜,长袜"
sash,"和服腰上的饰带,窗扇"
military,"军事"
maid_headdress,"女仆头饰"
maid_cachusha,"女仆头饰"
maid_headband,"女仆头饰"
black_pantyhose,"黑色腿装,黑色连裤袜"
cosplay,"角色扮演"
petals,"花瓣"
flower_petals,"花瓣"
petal,"花瓣"
black_panties,"黑色内裤"
hands_up,"举起手来"
bare_arms,"光着膀子"
fur_trim,"皮草饰边"
pubic_hair,"阴毛"
hairy_pussy,"阴毛"
pubes,"阴毛"
gradient_background,"渐变的背景,渐变背景"
symbol-shaped_pupils,"符号形瞳孔,符号眼"
fox_ears,"狐狸耳朵"
one-piece_swimsuit,"一体式泳衣,连体泳衣"
one-piece,"一体式泳衣"
loli,"萝莉"
lolicon,"萝莉"
short_shorts,"热裤,短裤"
booty_shorts,"热裤"
hot_pants,"热裤"
hotpants,"热裤"
ascot,"领巾,阿斯科特,领巾状领带"
cravat,"领巾,领巾状领带"
dutch_angle,"倾斜镜头,德式倾斜镜头,荷兰角"
black_shirt,"黑色衬衫"
clothing_cutout,"服装镂空"
eyelashes,"睫毛"
eye_lashes,"睫毛"
open_shirt,"开衫"
no_humans,"没有人类,非人,无人"
no_human,"没有人类,无人"
bare_legs,"光腿,裸腿"
bar_censor,"酒吧审查员,黑条打码"
censor_bars,"酒吧审查员,黑条打码"
dress_shirt,"正装衬衫,西服衬衫,礼服衬衫"
sparkle,"闪耀效果,闪光"
sparkles,"闪耀效果"
sparkling,"闪耀效果"
mole_under_eye,"眼角有痣,眼睛下方的痣"
window,"窗口"
kneeling,"跪着,下跪"
on_knees,"跪着,下跪"
lowres,"低分辨率"
pokemon_(creature),"宠物小精灵(生物)"
4girl,"4女"
single_braid,"单辫"
bodysuit,"连体紧身衣,紧身连衣裤,紧身衣"
body_suit,"连体紧身衣,紧身衣"
sleeveless_shirt,"无袖衬衫"
hug,"拥抱"
v,"胜利手势,x"
peace_sign,"胜利手势"
v_sign,"胜利手势"
no_bra,"无胸罩,没有胸罩"
strapless,"无肩带"
bell,"铃铛"
bells,"铃铛"
saliva,"唾液"
drool,"唾液"
spit,"唾液"
double_bun,"双团子头,双包子"
buns,"双团子头"
double_buns,"双团子头"
hair_buns,"双团子头"
twin_bun,"双团子头"
twin_buns,"双团子头"
aqua_hair,"水色头发"
uncensored,"无码,未经审查"
uncensoring,"无码"
black_headwear,"黑色头饰"
black_ribbon,"黑丝带"
military_uniform,"军装,军服"
bed,"床"
blood,"血液,血"
completely_nude,"完全裸体"
hoodie,"连帽衫,卫衣"
hatsune_miku,"初音未来"
sideboob,"侧臂,侧乳"
side_boob,"侧臂,侧乳"
side_boobs,"侧臂,侧乳"
sideboobs,"侧臂,侧乳"
scan,"扫描,扫描件"
4koma,"四格,四格漫画"
4coma,"四格,四格漫画"
pussy_juice,"爱液,阴道液"
pussy_juice_drip,"爱液"
vaginal_juices,"爱液"
profile,"侧脸,个人资料"
in_profile,"侧脸"
black_bow,"黑色蝴蝶结"
covered_navel,"覆盖肚脐"
tattoo,"纹身"
tattoos,"纹身"
skindentation,"剥皮"
gradient_hair,"纵向渐变发色,渐变头发,渐变发色"
makeup,"化妆品,浓装"
make-up,"化妆品,浓装"
make_up,"化妆品,浓装"
neck_ribbon,"系在脖子上的丝带,颈部系着缎带,颈带"
leaning_forward,"向前倾,身体前驱,身体前倾"
thigh_strap,"腿带,大腿绑带"
mask,"面具/眼罩/口罩"
masks,"面具/眼罩/口罩"
muscular,"肌肉发达"
muscle,"肌肉发达,肌肉"
no_panties,"无内裤,没有内裤"
nopan,"无内裤"
multiple_views,"多视图,多个视图"
capelet,"披肩"
witch_hat,"女巫帽"
witches_hat,"女巫帽"
banned_artist,"被禁止的艺术家"
arknights,"方舟骑士"
anus,"菊花,肛门"
ass_hole,"菊花"
asshole,"菊花"
butt_hole,"菊花"
butthole,"菊花"
copyright_name,"版权名称"
:3,"猫嘴,65286"
alternate_hairstyle,"备用发型,与原设不同发型变化"
alternate_hair_style,"备用发型,与原设不同发型变化"
alternative_hair_style,"备用发型,与原设不同发型变化"
alternative_hairstyle,"备用发型,与原设不同发型变化"
fruit,"水果"
underboob,"南半球"
under_boob,"南半球"
underbreast,"南半球"
detached_collar,"假领,分离式衣领"
night,"晚上,夜晚"
depth_of_field,"景深,背景虚化"
focus_blur,"景深,背景虚化"
sleeveless_dress,"无袖连衣裙"
floating_hair,"漂浮的头发"
hair_blowing,"漂浮的头发,吹头发"
space_hair,"漂浮的头发"
headband,"穿过额头的带子,头带"
buttons,"纽扣,按钮"
commission,"佣金"
^_^,"^^"
cameltoe,"骆驼趾（俗称馒头逼）"
camel_toe,"骆驼趾（俗称馒头逼）"
blue_dress,"蓝色连衣裙,蓝连衣裙"
copyright_request,"版权请求"
cum_in_pussy,"精液在阴部"
cum_inside,"精液在阴部,内射"
fox_tail,"狐尾,狐狸尾巴"
toes,"脚趾"
side-tie_bikini_bottom,"侧系带比基尼泳裤"
side-tie_bikini,"侧系带比基尼泳裤,系带式比基尼"
bottomless,"下着较少,无底"
bottom_less,"下着较少"
black_bikini,"黑色比基尼"
shadow,"影子"
blurry_background,"模糊的背景"
glowing,"发光"
nose_blush,"害羞,鼻腮红"
feet_out_of_frame,"脚部脱框,脚出框架"
red_skirt,"红裙子"
rose,"玫瑰,玫瑰/蔷薇"
roses,"玫瑰,玫瑰/蔷薇"
fake_animal_ears,"假动物耳朵,仿制的动物耳朵"
swept_bangs,"斜刘海,扫浏海,扫刘海"
bed_sheet,"床单"
hakurei_reimu,"博丽灵梦"
holding_hands,"牵手"
hand_holding,"牵手"
handholding,"牵手"
holding_another's_hand,"牵手"
chain,"链条"
chains,"链条,锁链"
headgear,"头饰"
facial_hair,"胡子,面部毛发"
turtleneck,"高领衫,高领毛衣,高领套头衫"
turtle_neck,"高领衫,高领套头衫"
bird,"鸟"
siblings,"兄弟姐妹"
headphones,"耳机"
headphone,"耳机"
colored_skin,"有色皮肤"
ocean,"海洋,大海"
sea,"海洋,大海"
arm_support,"用手支撑住,手臂支撑"
heterochromia,"异色瞳,异色症"
odd_eye,"异色瞳"
low_twintails,"低双马尾,低扎双尾"
animal,"动物"
halterneck,"绕颈系带"
halter,"绕颈系带"
halter_top,"绕颈系带,露背上衣"
haltertop,"绕颈系带"
umbrella,"伞,雨伞"
frown,"皱眉,皱眉/蹙额"
:(,"皱眉,皱眉/蹙额"
:{,"皱眉,皱眉/蹙额"
frowning,"皱眉,皱眉/蹙额"
beret,"贝雷帽"
leaf,"叶"
thigh_boots,"长度到大腿的靴子,高帮靴,大腿靴"
thighboots,"长度到大腿的靴子,高帮靴"
thighhigh_boots,"长度到大腿的靴子,高帮靴"
pov,"第一人称视角,主观视角"
male_pov,"第一人称视角,主观视角"
embarrassed,"尴尬的"
embarrassing,"尴尬的"
embarrassment,"尴尬的"
on_bed,"在床上"
one_side_up,"披肩单马尾,一面朝上,只扎了一边的头发"
white_headwear,"白色头饰"
back,"背影像,返回"
from_above,"俯视视角,俯视镜头,从上面"
aerial_view,"俯视视角,俯视镜头"
view_from_above,"俯视视角,俯视镜头"
viewed_from_above,"俯视视角,俯视镜头"
fangs,"尖牙,獠牙"
watermark,"含水印"
watermarked,"含水印"
garter_straps,"吊带袜的吊带,袜带,吊袜带"
garter_strap,"吊带袜的吊带,袜带"
ass_visible_through_thighs,"正面可见的屁股,屁股通过大腿可见"
ass_fangs,"正面可见的屁股"
butt_fangs,"正面可见的屁股"
gluteal_fold,"正面可见的屁股"
blue_background,"蓝色背景"
non-web_source,"非网络来源"
highleg,"高腿"
scar,"疤痕"
white_bikini,"白色比基尼"
on_side,"侧卧,在旁边"
lying_on_side,"侧卧"
transparent_background,"透明背景"
transparent_gif,"透明背景"
transparent_png,"透明背景"
plaid_skirt,"格子裙,格子呢短裙"
tartan_skirt,"格子裙,格子呢短裙"
mahou_shoujo_madoka_magica,"魔法少女小圆"
upper_teeth,"露出上排牙齿,上牙"
wariza,"鸭子坐,割坐,瓦里萨"
w-legs,"鸭子坐,割坐"
w-sitting,"鸭子坐,割坐"
w_legs,"鸭子坐,割坐"
w_sitting,"鸭子坐,割坐"
blue_bow,"蓝色蝴蝶结"
mouth_hold,"嘴咬住,嘴巴"
traditional_media,"手绘,传统媒体"
handdrawn,"手绘"
beach,"海滩"
chair,"椅子"
chairs,"椅子"
parody,"拙劣模仿"
wavy_hair,"自然卷,卷发"
facial_mark,"面部标记"
bandages,"绷带"
bandage,"绷带"
looking_away,"看向别处,移开视线,看着别处"
averted_eyes,"看向别处,移开视线"
averting_eyes,"看向别处,移开视线"
female_pubic_hair,"女性阴毛"
black_choker,"黑色项圈"
hair_tubes,"圆柱形发饰(灵梦),发管"
blush_stickers,"2d脸红,腮红贴,表情贴纸"
blush_sticker,"2d脸红,表情贴纸"
shirt_lift,"衬衫升降机"
expressionless,"无口,面无表情"
emotionless,"无口"
neutral_expression,"无口"
unexpressive,"无口"
drill_hair,"钻头卷,钻头卷/公主卷"
chinese_clothes,"中国服饰(极大概率是旗袍),中式服装"
brown_footwear,"棕色鞋类"
grabbing,"抓住/抓着,抓取"
grab,"抓住/抓着"
obi,"衣带(和服用),带子"
arms_behind_back,"手放在身后,手臂在背后"
arms_behind,"手放在身后"
hands_behind_back,"手放在身后"
eating,"吃饭"
holding_sword,"持剑"
thick_thighs,"粗腿,大腿粗"
big_thighs,"粗腿"
fat_thighs,"粗腿"
thunder_thighs,"粗腿"
no_shoes,"没有鞋子"
clothes_pull,"拉开衣物,衣服拉"
heart-shaped_pupils,"心形瞳孔,爱心形瞳孔"
pantyshot,"内裤走光"
panchira,"内裤走光"
panty_flash,"内裤走光"
panty_shot,"内裤走光"
topless,"上着较少,裸照"
top_less,"上着较少"
topless_(female),"上着较少"
thigh_gap,"股沟,大腿间隙"
soles,"鞋底"
short_dress,"短连衣裙,短裙"
mini_dress,"短连衣裙,短裙"
minidress,"短连衣裙,短裙"
looking_down,"往下看,俯视,向下看"
phone,"电话"
symbol-only_commentary,"仅符号评论"
fire_emblem,"火徽"
skirt_lift,"掀起裙子,裙撑"
lifting_skirt,"掀起裙子"
skirt_up,"掀起裙子"
skirtlift,"掀起裙子"
